date,R-XGB
2011-05-31,465.11133
2011-06-30,1146.8541
2011-07-31,1649.7606
2011-08-31,936.55505
2011-09-30,1057.603
2011-10-31,1200.9102
2011-11-30,677.0925
2011-12-31,371.07327
2012-01-31,247.77217
2012-02-29,254.53244
2012-03-31,296.04498
2012-04-30,571.7522
2012-05-31,817.4772
2012-06-30,1122.4524
2012-07-31,2418.8179
2012-08-31,2462.8071
2012-09-30,1188.4833
2012-10-31,932.6308
2012-11-30,523.43634
2012-12-31,270.54156
2013-01-31,263.09784
2013-02-28,293.06226
2013-03-31,334.76233
2013-04-30,330.17465
2013-05-31,662.03577
2013-06-30,896.5641
2013-07-31,1638.5706
2013-08-31,1314.7559
2013-09-30,871.9166
2013-10-31,651.2233
2013-11-30,409.92706
2013-12-31,207.88538
2014-01-31,183.35867
2014-02-28,176.011
2014-03-31,246.52081
2014-04-30,366.08533
2014-05-31,449.954
2014-06-30,948.25336
2014-07-31,1023.0994
2014-08-31,1031.1069
2014-09-30,1549.6267
2014-10-31,1075.9703
2014-11-30,503.16812
2014-12-31,280.8941
2015-01-31,232.79826
2015-02-28,225.315
2015-03-31,255.1294
2015-04-30,313.78952
2015-05-31,340.86542
2015-06-30,797.4949
2015-07-31,1277.8121
2015-08-31,598.845
2015-09-30,745.86554
2015-10-31,794.48004
2015-11-30,433.62198
2015-12-31,241.75015
2016-01-31,172.01987
2016-02-29,172.94557
2016-03-31,227.03561
2016-04-30,329.61737
2016-05-31,492.34695
2016-06-30,642.6224
2016-07-31,852.90027
2016-08-31,649.64655
2016-09-30,655.9799
2016-10-31,833.9662
2016-11-30,462.2919
2016-12-31,233.40886
2017-01-31,167.5147
2017-02-28,167.60678
2017-03-31,217.89577
2017-04-30,305.9183
2017-05-31,413.90485
2017-06-30,941.0304
2017-07-31,690.2831
2017-08-31,616.1213
2017-09-30,1248.2257
2017-10-31,1657.4434
2017-11-30,770.44336
2017-12-31,353.67517
2018-01-31,223.63861
2018-02-28,194.61426
2018-03-31,236.39496
2018-04-30,440.35095
2018-05-31,865.31854
2018-06-30,1136.0416
2018-07-31,2422.7937
2018-08-31,1396.2214
2018-09-30,2240.8135
2018-10-31,1522.4175
2018-11-30,763.7508
2018-12-31,401.30524
2019-01-31,306.7799
2019-02-28,297.2197
2019-03-31,318.3771
2019-04-30,574.50726
2019-05-31,881.4193
2019-06-30,1630.5625
2019-07-31,2250.7515
2019-08-31,1567.061
2019-09-30,1849.0969
2019-10-31,1472.7001
2019-11-30,836.2922
2019-12-31,366.1434
