date,E-XGB
2014-03-31,252.45123
2014-04-30,547.87537
2014-05-31,581.4292
2014-06-30,1156.473
2014-07-31,1716.846
2014-08-31,1753.4811
2014-09-30,2217.5303
2014-10-31,1199.7837
2014-11-30,615.40027
2014-12-31,342.53018
2015-01-31,203.7031
2015-02-28,195.31015
2015-03-31,301.08334
2015-04-30,316.38242
2015-05-31,542.4204
2015-06-30,1375.4791
2015-07-31,1480.3275
2015-08-31,1002.3489
2015-09-30,976.32275
2015-10-31,1527.1721
2015-11-30,526.8205
2015-12-31,283.96213
2016-01-31,208.37833
2016-02-29,172.22911
2016-03-31,211.96033
2016-04-30,455.42114
2016-05-31,571.62445
2016-06-30,715.2238
2016-07-31,981.6107
2016-08-31,1098.3876
2016-09-30,1045.8132
2016-10-31,1163.5692
2016-11-30,679.5155
2016-12-31,281.1013
2017-01-31,229.38501
2017-02-28,254.47755
2017-03-31,270.84216
2017-04-30,318.3232
2017-05-31,682.3382
2017-06-30,1212.057
2017-07-31,1348.7975
2017-08-31,1209.9852
2017-09-30,2461.399
2017-10-31,1742.362
2017-11-30,747.52264
2017-12-31,359.0908
2018-01-31,232.61414
2018-02-28,222.29651
2018-03-31,269.06674
2018-04-30,369.1718
2018-05-31,661.20105
2018-06-30,1083.7495
2018-07-31,1474.7821
2018-08-31,1610.364
2018-09-30,2360.3008
2018-10-31,1633.6799
2018-11-30,674.8149
2018-12-31,339.152
2019-01-31,240.27702
2019-02-28,201.2051
2019-03-31,334.65018
2019-04-30,422.26624
2019-05-31,724.0337
2019-06-30,1133.204
2019-07-31,1580.2285
2019-08-31,1504.989
2019-09-30,2131.1125
2019-10-31,1620.6571
2019-11-30,641.94946
2019-12-31,375.8814
